particulate ,particulate_rounded_off
1.5,1.5
0.87,0.9
1.12,1.1
1.25,1.3
3.46,3.5
1.11,1.1
1.12,1.1
0.88,0.9
1.29,1.3
0.94,0.9
0.64,0.6
1.31,1.3
2.49,2.5
1.48,1.5
1.06,1.1
1.11,1.1
2.15,2.2
0.86,0.9
1.81,1.8
1.47,1.5
1.24,1.2
1.63,1.6
2.14,2.1
6.64,6.6
4.04,4
2.48,2.5
1.4,1.4
1.37,1.4
1.81,1.8
1.14,1.1
1.63,1.6
3.67,3.7
0.55,0.6
2.67,2.7
2.63,2.6
3.03,3
1.23,1.2
1.04,1
1.63,1.6
3.12,3.1
2.37,2.4
2.12,2.1
2.68,2.7
1.17,1.2
3.34,3.3
3.79,3.8
1.28,1.3
2.1,2.1
6.55,6.6
1.18,1.2
3.06,3.1
0.48,0.5
0.25,0.3
0.53,0.5
3.36,3.4
3.47,3.5
2.74,2.7
1.88,1.9
5.94,5.9
4.24,4.2
3.52,3.5
3.59,3.6
3.1,3.1
3.33,3.3
4.5,4.5
