tot_balance,avg_bal_cards,credit_age,credit_age_good_account,credit_card_age,num_acc_30d_past_due_12_months,num_acc_30d_past_due_6_months,num_mortgage_currently_past_due,tot_amount_currently_past_due,num_inq_12_month,num_card_inq_24_month,num_card_12_month,num_auto_ 36_month,uti_open_card,pct_over_50_uti,uti_max_credit_line,pct_card_over_50_uti,ind_XYZ,rep_income,rep_education,Def_ind
102956.1101,14819.0574,238,104,264,0,0,0,0,0,0,1,0,0.36673698,0.342183398,0.513933626,0.550866017,0,118266.3213,college,0
132758.7258,18951.93455,384,197,371,0,0,0,0,0,0,0,0,0.4908088,0.540671307,0.418016108,,0,89365.05765,college,0
124658.9174,15347.92969,277,110,288,0,0,0,0,0,0,0,0,0.359074148,0.338560121,0.341627001,0.45141749,0,201365.1213,college,0
133968.5369,14050.71334,375,224,343,0,0,0,0,2,2,1,0,0.700378813,0.683588753,0.542940421,0.607842616,0,191794.4855,college,0
143601.8017,14858.51527,374,155,278,0,0,0,0,0,0,0,0,0.647350957,0.510812031,0.632934063,0.573679931,0,161465.3679,graduate,0
83980.68793,8505.409715,250,178,255,1,0,0,0,0,1,0,0,0.602082676,0.49329826,0.697254108,,0,145392.1804,college,0
154508.4725,19626.36471,249,132,251,0,0,0,0,0,0,0,0,0.363827052,0.515487683,0.377023569,0.444945704,0,138870.5773,graduate,0
121591.0456,11143.19382,252,139,269,0,0,0,0,0,0,0,0,0.603348011,0.685677913,0.518623855,0.650996459,1,172338.9748,college,0
116267.2821,11572.64624,263,102,269,0,0,0,0,0,0,0,1,0.48804927,0.399162214,0.46829902,,0,156537.9971,college,0
144968.7243,18370.61701,328,169,328,0,0,0,0,0,0,0,0,0.519259415,0.401434198,0.532155579,0.593616601,1,171661.3063,high_school,0
100988.0315,7536.196564,182,80,210,0,0,0,0,0,0,0,0,0.268899187,0.238972562,0.207820538,,0,189344.8254,college,0
107638.3277,12727.53001,344,151,306,0,0,0,0,0,0,0,0,0.343619882,0.356203358,0.427834055,0.364314135,1,145790.9586,high_school,0
89475.84484,7610.212889,377,164,358,0,0,0,0,2,4,0,1,0.421255903,0.410125964,0.516643957,0.462450355,0,159936.1535,college,0
111727.3047,13123.67525,336,144,342,0,0,0,0,0,0,0,0,0.723827723,0.615846492,0.622971629,0.721977443,1,134346.1355,high_school,0
108849.866,14907.13173,306,133,333,0,0,0,0,4,7,1,0,0.557041793,0.578944986,0.584027442,0.613478944,1,167084.5461,college,1
96643.32399,12297.94788,217,100,208,0,0,0,0,0,0,0,0,0.432797762,0.499161436,0.365042165,0.506873584,0,194538.8855,high_school,0
93084.81023,8737.229396,210,97,277,0,0,0,0,0,0,0,0,0.211404456,0.344520955,0.320281315,0.356499533,0,175779.5417,high_school,0
131165.3597,17224.62489,377,216,300,0,0,0,0,0,0,0,0,0.377814953,0.447936528,0.453836092,0.594470742,0,,college,0
141563.0141,17836.42686,94,61,134,1,0,0,124.458584,1,0,1,0,0.516490147,0.444097534,0.514310587,,0,131917.3984,college,0
91656.11057,10692.65801,387,182,374,0,0,0,0,3,3,1,1,0.401242297,0.436130369,0.35504795,0.484112356,1,182351.521,college,0
108397.8467,10006.50618,331,149,323,0,0,0,0,0,0,0,0,0.526375088,0.351633589,0.680003055,0.603490228,0,179766.1756,college,1
101097.4765,14224.48977,319,151,265,0,0,0,0,0,0,0,0,0.629796339,0.619597875,0.581146056,0.715020351,1,140347.5315,college,0
90168.75764,12929.47126,322,131,335,0,0,0,0,2,4,0,0,0.498034453,0.493913408,0.44425198,0.50734276,0,265075.4714,college,0
59642.376,6238.883171,244,116,244,0,0,0,0,0,0,0,0,0.545562332,0.593998195,0.44426556,0.602199915,0,169168.6159,graduate,1
97504.61749,12474.79828,409,186,410,0,0,0,0,0,0,1,1,0.684897329,0.705454581,0.453465958,0.716802432,0,116235.6816,graduate,0
93669.94052,10334.49889,206,110,273,0,0,0,0,4,7,0,0,0.497002515,0.30206389,0.28734119,0.496150757,0,148191.2938,graduate,0
120888.5813,12839.09984,318,198,325,0,0,0,0,0,0,0,0,0.628499385,0.66164509,0.577625628,,0,125862.2174,high_school,0
71770.67524,9920.851466,192,151,184,0,0,0,0,1,3,1,0,0.618728183,0.643039446,0.593239005,0.686049846,1,223373.9487,college,0
105528.6755,12417.50759,279,124,287,0,0,0,0,0,0,0,0,0.51369904,0.493255128,0.490493013,0.577840397,0,274251.4627,college,0
100700.7078,13878.47144,240,129,243,0,0,0,0,2,3,0,0,0.47227396,0.5407311,0.340285475,0.518446518,0,177472.4273,college,0
103304.8639,12456.41097,256,143,251,0,0,0,0,2,1,0,0,0.531697545,0.482609523,0.56841898,0.469347055,0,,college,0
132159.0929,14990.63447,269,151,242,0,0,0,0,0,0,0,0,0.289769965,0.456847589,0.302966082,0.261285468,0,195613.6275,high_school,0
131441.9964,15228.82314,285,121,290,0,0,0,0,0,0,0,0,0.483480377,0.522292939,0.33206117,0.386450273,0,153631.2305,college,0
108260.3714,10289.51486,246,146,251,1,0,0,3772.849689,0,0,0,1,0.44543012,0.512320189,0.419220876,0.309544774,1,178830.864,graduate,0
108962.3822,11918.0379,274,130,280,0,0,0,0,0,0,0,0,0.34471961,0.362113578,0.380113272,0.366678584,0,188098.216,graduate,0
117855.562,10996.50133,294,149,279,0,0,0,0,0,0,1,0,0.30585763,0.448199804,0.403901743,0.418063465,1,153296.7873,college,0
123010.5328,13723.87578,210,99,229,0,0,0,0,3,3,1,0,0.480494398,0.357042504,0.564049347,0.579672559,0,,college,0
132323.8567,14581.56863,289,123,262,0,0,0,0,0,0,0,0,0.520996508,0.402250773,0.345911747,0.585939039,1,146946.2298,college,0
126847.619,13109.01153,350,162,365,1,0,0,0,2,2,1,0,0.26663788,0.302960918,0.043305058,0.358326802,1,146099.7817,high_school,0
132777.1947,13891.8832,200,139,155,0,0,0,0,0,0,0,0,0.53414799,0.530851112,0.664639873,,0,166195.9468,graduate,0
118555.8321,12726.93723,221,148,227,0,0,0,0,0,0,0,0,0.545063131,0.597932369,0.539248766,0.60398539,0,184944.2445,college,0
105116.6978,10489.81417,300,146,260,0,0,0,0,0,0,1,0,0.414544519,0.342769942,0.465291404,0.545596069,0,160827.0991,college,0
109894.6912,15049.22567,296,171,246,0,0,0,0,0,0,0,0,0.377710321,0.34660381,0.31913688,0.453547236,1,172736.1963,high_school,0
82613.33228,12223.84589,295,143,224,0,0,0,0,2,6,0,0,0.665691228,0.652192853,0.54674193,0.689500788,0,120703.3387,graduate,0
132629.308,14562.13238,332,177,304,0,0,0,0,4,7,0,0,0.343460708,0.488767909,0.260059575,0.55232772,0,171491.3536,high_school,0
118637.7182,13149.37694,270,124,288,0,0,0,0,4,10,0,0,0.580952679,0.386023066,0.4237257,0.619481324,0,190812.6244,college,0
97618.74008,18055.4059,274,180,271,1,0,0,847.9102098,0,0,1,0,0.552454066,0.36476391,0.50450154,0.58753215,0,190828.002,high_school,1
103747.4563,13695.71054,292,165,327,0,0,0,0,3,3,1,0,0.580254647,0.560408201,0.407762226,0.814184169,1,84630.91598,college,0
112170.3932,14260.32639,304,142,282,0,0,0,0,2,1,1,1,0.333532304,0.43545817,0.495431533,,0,216234.0247,high_school,0
74154.8455,9106.125232,303,149,315,0,0,0,0,0,0,0,0,0.443434029,0.446230633,0.453868851,0.451271627,0,157493.2584,college,0
148715.5895,18285.9671,480,213,461,0,0,0,0,0,0,0,0,0,0.074805583,0.256106727,0,1,178029.4252,college,0
150449.5139,16815.02364,328,193,249,0,0,0,0,0,0,0,1,0.631921999,0.543719587,0.613126053,,0,136792.6027,college,0
67077.68429,7787.049426,307,149,285,1,0,0,2013.18747,0,0,0,0,0.283393101,0.242204131,0.368347202,0.303827931,0,195773.6226,college,0
135130.0626,18326.25193,274,156,245,0,0,0,0,0,0,1,0,0.313667608,0.373600009,0.353822919,0.435560014,0,161602.2192,college,0
115855.505,13042.93785,369,195,351,0,0,0,0,2,1,1,0,0.381989986,0.437329435,0.576167493,0.409481971,0,176786.9837,high_school,0
104520.2918,15966.59773,316,186,338,0,0,0,0,0,0,1,0,0.429961346,0.495877761,0.435216792,0.584295883,0,141360.4983,high_school,0
83295.10935,10816.6126,206,151,269,0,0,0,0,0,0,0,1,0.414402698,0.317538995,0.373203507,0.497381698,0,,college,0
114525.1933,8602.499178,230,152,248,0,0,0,0,1,1,0,0,0.21217652,0.360159056,0.182392953,0.34419359,0,103512.7177,college,0
107297.7653,10182.41634,200,136,240,0,0,0,0,0,0,0,0,0.366751069,0.376309173,0.304191336,0.469350533,0,168328.1875,college,0
111616.3256,12238.53051,216,120,200,0,0,0,0,1,2,0,0,0.677948633,0.67421999,0.572487912,0.719565938,0,154240.0611,high_school,0
117729.0465,12262.05571,295,153,288,2,0,1,2913.792063,0,0,0,0,0.549615911,0.47935766,0.614732841,0.747494005,0,148026.2159,college,0
106241.5914,11062.56279,334,195,365,0,0,0,0,1,1,0,0,0.375322244,0.54574275,0.466142631,0.370420281,0,129263.4382,graduate,0
111457.6265,10876.9902,347,135,356,0,0,0,0,0,0,0,1,0.547102531,0.34573223,0.5846468,0.576774905,0,,high_school,0
130635.3632,13944.88064,245,125,224,0,0,0,0,0,1,1,1,0.386401854,0.340906116,0.421748624,0.523041296,0,163593.9253,college,0
95979.70776,9421.184116,290,132,288,0,0,0,0,0,0,0,0,0.400888003,0.508349757,0.300915025,,0,182899.434,college,0
100347.7215,9576.935875,369,193,324,0,0,0,0,0,0,0,0,0.602015209,0.732561176,0.54932699,0.703646833,0,198290.9954,graduate,0
65007.25536,10457.6638,267,128,247,0,0,0,0,0,0,1,0,0.47380306,0.481722752,0.480139204,0.546904143,0,160461.0526,high_school,0
127250.0141,16095.62843,292,122,292,0,0,0,0,0,0,0,0,0.297818298,0.297796402,0.268102563,0.449095248,0,221018.1814,college,0
131683.8337,14381.51597,312,147,310,0,0,0,0,5,9,0,0,0.420927755,0.485048157,0.448052984,,0,,college,0
113797.669,11242.64518,294,137,296,0,0,0,0,0,0,1,0,0.523227615,0.374674562,0.364967759,0.635439003,0,120385.9315,high_school,0
118415.3559,15652.24824,214,109,212,0,0,0,0,0,1,1,0,0.604548457,0.522623593,0.603705175,0.639381279,1,125846.26,high_school,0
109906.5083,14967.45985,297,135,298,0,0,0,0,0,0,0,0,0.235108744,0.305086135,0.250894235,0.342438142,0,,college,0
89149.27509,11821.85679,153,55,159,0,0,0,0,0,0,0,0,0.579199588,0.628649824,0.551812387,0.651903188,0,158159.2192,college,1
130893.9721,15736.38432,101,69,184,0,0,0,0,0,0,0,0,0.505544311,0.551241282,0.360077991,0.638487698,0,186327.5666,high_school,0
90446.45609,13848.31272,115,55,199,0,0,0,0,0,0,0,0,0.367132138,0.420194651,0.413957023,0.447449608,1,156709.6024,high_school,0
99553.94825,11326.6219,304,197,266,0,0,0,0,0,0,0,0,0.462423348,0.506685875,0.33527069,0.694627635,0,239260.151,college,0
99818.73015,14683.43599,404,220,371,0,0,0,0,0,0,0,0,0.645766797,0.697751921,0.539176577,0.528435589,0,135672.4585,high_school,0
54654.43478,4660.53182,300,179,258,0,0,0,0,0,0,0,0,0.425518694,0.373503158,0.4868927,0.449027288,1,179011.5577,college,0
102105.021,13625.33559,218,129,235,0,0,0,0,0,0,1,1,0.373175847,0.36451004,0.402385262,0.477221971,1,153419.2762,high_school,0
79976.89877,6675.593328,248,142,245,0,0,0,0,0,1,0,1,0.397405072,0.35527623,0.369187647,0.436254211,0,148571.0783,high_school,0
113433.7569,9923.014152,263,140,270,0,0,0,0,0,0,1,0,0.600675097,0.551850289,0.480631149,0.612054064,0,119129.7035,high_school,0
126034.5855,17123.49931,224,134,216,0,0,0,0,0,0,1,0,0.62901799,0.507670956,0.597414416,0.537189548,0,192056.2288,high_school,0
117048.5458,12094.05358,230,129,242,0,0,0,0,0,0,0,0,0.670858432,0.692558777,0.504973438,0.707706529,0,177019.4211,high_school,0
130381.2681,15833.76511,323,126,348,0,0,0,0,0,0,2,0,0.487421319,0.365988491,0.493189501,0.538027138,1,212244.5681,graduate,0
37213.81277,7900.756488,254,129,279,0,0,0,0,3,6,0,0,0.408289012,0.425192346,0.409492942,0.451860185,0,246986.3155,high_school,0
93652.69907,15598.01349,388,214,336,0,0,0,0,0,2,1,0,0.490000336,0.489494927,0.53913664,0.44420023,1,185105.2428,college,0
82664.10717,10765.78848,255,106,284,0,0,0,0,0,1,1,0,0.451885688,0.399259016,0.363254259,0.485572285,0,174943.2841,high_school,0
123953.8186,11576.58937,250,103,298,0,0,0,0,0,0,0,1,0.499741152,0.527031919,0.35192875,,0,159064.6878,high_school,0
102903.318,9807.242365,273,139,268,0,0,0,0,0,0,1,1,0.495715798,0.519512614,0.525575606,0.39795909,1,,college,0
90814.20819,11616.57518,389,230,362,0,0,0,0,0,0,0,0,0.582329354,0.471897518,0.596072514,0.669415889,1,164331.3339,college,0
110300.6668,12667.48934,337,167,264,0,0,0,0,0,0,2,0,0.356138778,0.433781645,0.446696404,0.29119569,1,165772.1906,college,0
127690.9518,13176.86849,221,78,274,0,0,0,0,0,0,0,0,0.440877579,0.643735815,0.472312749,,0,148265.1866,high_school,0
127651.8147,19725.71455,155,71,145,0,0,0,0,1,0,1,0,0.572324182,0.552307916,0.64216721,,0,163823.1293,high_school,0
